2007-01-11 00:00:00	1.29644	1.30124	1.28788	1.28822	1674014
2007-01-12 00:00:00	1.28825	1.29418	1.28668	1.29212	1854297
2007-01-14 00:00:00	1.29219	1.29276	1.29121	1.2916	146287
2007-01-15 00:00:00	1.29154	1.2955	1.29121	1.29249	1995838
2007-01-16 00:00:00	1.2925	1.29875	1.29062	1.29207	2023060
2007-01-17 00:00:00	1.29221	1.29494	1.28973	1.29341	1998099
2007-01-18 00:00:00	1.29351	1.29756	1.28971	1.29637	1996322
2007-01-19 00:00:00	1.29609	1.29998	1.29129	1.29536	1864829
2007-01-21 00:00:00	1.29592	1.29704	1.29505	1.29675	142983
2007-01-22 00:00:00	1.2968	1.29769	1.29201	1.294	1997102
2007-01-23 00:00:00	1.29412	1.30423	1.29288	1.30233	2006308
2007-01-24 00:00:00	1.30242	1.30357	1.29475	1.29522	2007952
2007-01-25 00:00:00	1.29537	1.30002	1.29139	1.29334	2008773
2007-01-26 00:00:00	1.29352	1.29386	1.28807	1.29144	1856463
2007-01-28 00:00:00	1.29147	1.29246	1.28995	1.29019	142442
2007-01-29 00:00:00	1.2901	1.29679	1.28948	1.29466	2011117
2007-01-30 00:00:00	1.29464	1.298	1.29448	1.29584	1992847
2007-01-31 00:00:00	1.2959	1.30356	1.29239	1.30265	2007964
